PTID,EAST,NORTH,LAT,LON,ELLIPSOID_ELEV,ORTHOMETRIC_ELEV,SONARDEPTH
panel01,327697.622,1967693.568,17.78995000,-64.62551111,-41.922, , 
panel02,327730.076,1967700.050,17.79001111,-64.62520556,-41.914, , 
bathy01,327665.594,1967668.328,17.78971944,-64.62581111,-41.679, , 
bathy02,327663.543,1967669.576,17.78973056,-64.62583056,-42.018, , 
bathy03,327660.901,1967670.521,17.78973889,-64.62585556,-42.157, , 
bathy04,327659.433,1967671.149,17.78974444,-64.62586944,-42.245, , 
panel03,327669.836,1967648.000,17.78953611,-64.62576944,-40.075, , 
bathy07,327704.050,1967687.671,17.78989722,-64.62545000,-41.687, , 
bathy08,327702.902,1967691.063,17.78992778,-64.62546111,-41.939, , 
bathy09,327701.167,1967694.767,17.78996111,-64.62547778,-42.191, , 
bathy10,327700.302,1967696.927,17.78998056,-64.62548611,-41.940, , 
stx01  ,327758.858,1967690.578,17.78992778,-64.62493333,-37.248, , 
panel04,327773.995,1967703.974,17.79005000,-64.62479167,-40.980, , 
panel05,327643.851,1967674.358,17.78977222,-64.62601667,-42.735, , 
panel06,327643.851,1967674.358,17.78977222,-64.62601667,-42.757, , 
panel07,327654.050,1967661.665,17.78965833,-64.62591944,-42.020, , 
bathy15,327651.614,1967652.463,17.78957500,-64.62594167,-41.824, , 
bathy16,327649.565,1967654.017,17.78958889,-64.62596111,-42.100, , 
bathy17,327648.403,1967655.872,17.78960556,-64.62597222,-42.196, , 
bathy18,327648.122,1967657.412,17.78961944,-64.62597500,-42.297, , 
bathy19,327646.326,1967654.046,17.78958889,-64.62599167,-42.256, , 
bathy20,327637.392,1967642.748,17.78948611,-64.62607500,-42.305, , 
bathy21,327635.630,1967643.378,17.78949167,-64.62609167,-42.376, , 
bathy22,327636.482,1967639.681,17.78945833,-64.62608333,-42.023, , 
bathy23,327630.841,1967634.504,17.78941111,-64.62613611,-42.192, , 
bathy24,327625.202,1967629.634,17.78936667,-64.62618889,-42.193, , 
bathy25,327624.621,1967630.561,17.78937500,-64.62619444,-42.314, , 
bathy26,327623.133,1967628.729,17.78935833,-64.62620833,-42.253, , 
bathy27,327635.012,1967640.001,17.78946111,-64.62609722,-42.093, , 
bathy28,327679.055,1967692.192,17.78993611,-64.62568611,-42.161, , 
bathy29,327684.942,1967691.833,17.78993333,-64.62563056,-41.761, , 
