PTID,EAST,NORTH,LAT,LON,ELLIPSOID_ELEV,ORTHOMETRIC_ELEV,SONARDEPTH
138,327599.713,1967661.998,17.78965709,-64.62643192,-41.762, ,0.950
139,327599.395,1967662.027,17.78965733,-64.62643492,-41.724, ,1.020
140,327598.851,1967662.071,17.78965768,-64.62644006,-41.721, ,0.990
141,327598.287,1967662.034,17.78965730,-64.62644537,-41.689, ,1.060
142,327597.637,1967662.005,17.78965699,-64.62645150,-41.673, ,1.060
143,327597.202,1967661.840,17.78965546,-64.62645559,-41.673, ,1.180
144,327596.797,1967661.652,17.78965373,-64.62645939,-41.704, ,1.200
145,327596.381,1967661.561,17.78965288,-64.62646331,-41.745, ,1.300
146,327595.926,1967661.457,17.78965190,-64.62646759,-41.767, ,1.270
147,327595.441,1967661.458,17.78965188,-64.62647217,-41.788, ,1.150
148,327595.010,1967661.322,17.78965061,-64.62647622,-41.739, ,1.180
149,327594.598,1967661.197,17.78964945,-64.62648010,-41.679, ,1.230
150,327594.221,1967661.013,17.78964776,-64.62648364,-41.683, ,1.180
151,327593.828,1967660.797,17.78964578,-64.62648733,-41.683, ,1.180
152,327593.286,1967660.779,17.78964557,-64.62649244,-41.759, ,1.140
153,327592.716,1967660.752,17.78964528,-64.62649781,-41.743, ,1.080
154,327592.176,1967660.673,17.78964453,-64.62650290,-41.708, ,1.110
155,327591.756,1967660.457,17.78964254,-64.62650684,-41.692, ,1.080
156,327591.344,1967660.289,17.78964099,-64.62651071,-41.701, ,1.020
157,327590.875,1967660.110,17.78963934,-64.62651512,-41.771, ,1.030
158,327590.351,1967660.012,17.78963841,-64.62652005,-41.786, ,1.000
159,327589.846,1967659.946,17.78963778,-64.62652481,-41.771, ,0.990
160,327589.382,1967659.953,17.78963780,-64.62652919,-41.797, ,0.840
161,327589.007,1967659.801,17.78963640,-64.62653271,-41.730, ,0.970
162,327588.616,1967659.632,17.78963484,-64.62653639,-41.626, ,0.970
163,327588.195,1967659.449,17.78963316,-64.62654034,-41.640, ,0.950
164,327587.675,1967659.459,17.78963321,-64.62654525,-41.617, ,1.000
165,327587.096,1967659.408,17.78963270,-64.62655070,-41.701, ,1.030
166,327586.518,1967659.266,17.78963137,-64.62655614,-41.727, ,0.900
167,327585.985,1967659.066,17.78962952,-64.62656115,-41.708, ,0.890
168,327585.506,1967658.869,17.78962770,-64.62656566,-41.663, ,0.950
169,327585.098,1967658.625,17.78962547,-64.62656948,-41.738, ,1.050
170,327584.690,1967658.468,17.78962402,-64.62657332,-41.761, ,1.230
171,327584.293,1967658.328,17.78962272,-64.62657705,-41.770, ,1.300
172,327583.750,1967658.204,17.78962156,-64.62658216,-41.706, ,1.320
173,327583.362,1967658.077,17.78962038,-64.62658581,-41.717, ,1.370
174,327582.873,1967657.828,17.78961809,-64.62659040,-41.719, ,1.460
175,327582.220,1967657.580,17.78961580,-64.62659654,-41.721, ,1.460
176,327581.682,1967657.306,17.78961328,-64.62660159,-41.725, ,1.480
177,327581.219,1967656.888,17.78960947,-64.62660593,-41.699, ,1.510
178,327580.742,1967656.492,17.78960585,-64.62661039,-41.644, ,1.540
179,327580.081,1967656.158,17.78960278,-64.62661660,-41.710, ,1.520
180,327579.321,1967655.827,17.78959973,-64.62662374,-41.753, ,1.510
181,327578.515,1967655.481,17.78959655,-64.62663131,-41.739, ,1.450
182,327577.500,1967655.314,17.78959496,-64.62664087,-41.736, ,1.540
183,327576.487,1967655.047,17.78959246,-64.62665040,-41.757, ,1.420
184,327575.457,1967654.690,17.78958916,-64.62666009,-41.716, ,1.390
185,327574.398,1967654.372,17.78958620,-64.62667005,-41.704, ,1.390
186,327573.322,1967654.301,17.78958548,-64.62668019,-41.732, ,1.320
187,327572.297,1967654.409,17.78958637,-64.62668987,-41.707, ,1.430
188,327571.277,1967654.298,17.78958529,-64.62669948,-41.647, ,1.450
189,327570.269,1967654.466,17.78958673,-64.62670900,-41.746, ,1.420
190,327569.191,1967654.455,17.78958654,-64.62671917,-41.743, ,1.420
191,327568.169,1967654.436,17.78958629,-64.62672880,-41.702, ,1.450
192,327567.176,1967654.681,17.78958843,-64.62673819,-41.766, ,1.400
193,327566.083,1967654.816,17.78958956,-64.62674851,-41.728, ,1.290
194,327565.024,1967655.003,17.78959117,-64.62675851,-41.746, ,1.170
195,327563.945,1967655.245,17.78959327,-64.62676871,-41.741, ,1.330
196,327562.844,1967655.415,17.78959472,-64.62677910,-41.702, ,1.300
197,327561.715,1967655.697,17.78959718,-64.62678977,-41.756, ,1.330
198,327560.549,1967655.719,17.78959729,-64.62680077,-41.717, ,1.390
199,327559.383,1967655.976,17.78959952,-64.62681179,-41.707, ,1.370
200,327558.309,1967655.987,17.78959953,-64.62682192,-41.613, ,1.400
201,327557.066,1967655.960,17.78959919,-64.62683364,-41.650, ,1.460
202,327556.100,1967656.253,17.78960176,-64.62684278,-41.762, ,1.330
203,327554.568,1967656.561,17.78960443,-64.62685725,-41.707, ,1.390
204,327553.389,1967656.826,17.78960673,-64.62686839,-41.679, ,1.520
205,327552.298,1967656.806,17.78960646,-64.62687868,-41.638, ,1.430
206,327551.185,1967656.835,17.78960664,-64.62688918,-41.671, ,1.360
207,327550.047,1967657.049,17.78960848,-64.62689993,-41.765, ,1.420
208,327548.942,1967657.419,17.78961174,-64.62691038,-41.815, ,1.320
209,327547.819,1967657.683,17.78961403,-64.62692099,-41.760, ,1.300
210,327546.875,1967658.123,17.78961794,-64.62692993,-41.677, ,1.290
211,327546.130,1967658.731,17.78962337,-64.62693701,-41.781, ,1.400
