PTID,EAST,NORTH,LAT,LON,ELLIPSOID_ELEV,ORTHOMETRIC_ELEV,SONARDEPTH
STX01,327758.709,1967690.656,17.78992838,-64.62493474,-37.239,4.351, 
STX02,327527.586,1967544.465,17.78858942,-64.62710257,-40.137,1.442, 
TPS0001,327688.506,1967683.299,17.78985641,-64.62559625,-39.240,2.350, 
STX03,327703.378,1967673.104,17.78976547,-64.62545515,-39.671,1.918, 
CP10,327757.076,1967691.567,17.78993649,-64.62495022,-37.883,3.706, 
CP11,327774.079,1967703.913,17.79004937,-64.62479086,-40.963,0.627, 
CP12,327747.928,1967689.681,17.78991873,-64.62503634,-40.611,0.979, 
CP13,327723.501,1967682.841,17.78985501,-64.62526616,-40.334,1.256, 
CP14,327699.435,1967678.813,17.78981674,-64.62549280,-40.454,1.135, 
CP15,327664.232,1967652.651,17.78957760,-64.62582267,-40.281,1.307, 
CP16,327646.992,1967633.456,17.78940283,-64.62598370,-40.251,1.335, 
CP17,327604.272,1967596.090,17.78906187,-64.62638354,-40.412,1.171, 
WCP12,327733.511,1967701.856,17.79002761,-64.62517331,-41.968,-0.376, 
WCP13,327684.765,1967694.112,17.78995382,-64.62563241,-41.983,-0.392, 
WCP14,327647.411,1967674.031,17.78976946,-64.62598307,-42.545,-0.955, 
WCP15,327637.672,1967661.802,17.78965820,-64.62607392,-42.145,-0.556, 
WCP16,327602.384,1967618.049,17.78926012,-64.62640315,-42.522,-0.937, 
WWCP10,327475.455,1967706.606,17.79005030,-64.62760749,-40.957,0.641, 
WWCP11,327558.024,1967784.484,17.79076041,-64.62683514,-41.409,0.195, 
P10,327594.126,1967617.888,17.78925802,-64.62648102,-42.583,-0.998, 
P11,327594.667,1967617.200,17.78925185,-64.62647586,-42.519,-0.934, 
P12,327595.224,1967616.431,17.78924494,-64.62647055,-42.536,-0.951, 
P13,327595.904,1967615.674,17.78923815,-64.62646406,-42.471,-0.885, 
P14,327596.629,1967615.005,17.78923217,-64.62645718,-42.600,-1.015, 
P15,327597.347,1967614.508,17.78922773,-64.62645037,-42.645,-1.060, 
P16,327598.047,1967613.843,17.78922178,-64.62644370,-42.668,-1.083, 
P17,327598.672,1967612.854,17.78921289,-64.62643773,-42.618,-1.034, 
P18,327599.581,1967611.733,17.78920283,-64.62642906,-42.556,-0.972, 
P19,327600.363,1967610.298,17.78918993,-64.62642157,-42.423,-0.839, 
P20,327601.226,1967609.420,17.78918207,-64.62641336,-42.306,-0.722, 
P21,327602.151,1967608.429,17.78917319,-64.62640455,-42.188,-0.604, 
P22,327602.358,1967608.215,17.78917127,-64.62640259,-42.102,-0.518, 
P23,327602.621,1967607.853,17.78916802,-64.62640008,-41.880,-0.295, 
P24,327603.149,1967607.051,17.78916081,-64.62639503,-41.716,-0.132, 
P25,327604.370,1967605.754,17.78914919,-64.62638341,-41.584,-0.001, 
P26,327606.373,1967603.258,17.78912679,-64.62636432,-41.212,0.372, 
