PTID,EAST,NORTH,LAT,LON,ELLIPSOID_ELEV,ORTHOMETRIC_ELEV,SONARDEPTH
100,333295.793,1964214.354,17.75894526,-64.57243745,-42.029, ,0.320
101,333296.640,1964216.090,17.75896101,-64.57242960,-42.253, ,0.320
102,333296.535,1964216.691,17.75896643,-64.57243063,-41.580, ,1.640
103,333296.640,1964216.471,17.75896445,-64.57242963,-41.400, ,1.890
104,333296.651,1964216.414,17.75896394,-64.57242952,-41.539, ,0.890
105,333296.798,1964216.404,17.75896386,-64.57242813,-41.646, ,1.110
106,333296.747,1964216.457,17.75896433,-64.57242862,-41.502, ,1.090
107,333296.499,1964216.495,17.75896466,-64.57243096,-41.406, ,1.080
108,333296.342,1964216.359,17.75896342,-64.57243243,-41.475, ,1.060
109,333295.721,1964215.872,17.75895897,-64.57243824,-41.312, ,1.080
110,333295.404,1964215.506,17.75895564,-64.57244120,-41.386, ,1.080
111,333295.239,1964215.366,17.75895436,-64.57244275,-41.469, ,0.920
112,333295.218,1964215.372,17.75895441,-64.57244295,-41.571, ,0.600
113,333295.270,1964215.468,17.75895528,-64.57244246,-41.619, ,0.520
114,333295.245,1964215.346,17.75895418,-64.57244269,-41.449, ,0.780
115,333295.230,1964215.323,17.75895397,-64.57244283,-41.598, ,0.770
116,333295.118,1964215.244,17.75895325,-64.57244388,-41.559, ,0.600
117,333294.977,1964214.973,17.75895079,-64.57244519,-41.333, ,0.750
118,333294.489,1964214.678,17.75894809,-64.57244977,-41.470, ,0.900
119,333293.974,1964214.490,17.75894635,-64.57245461,-41.311, ,0.440
120,333293.699,1964214.289,17.75894451,-64.57245719,-41.400, ,0.780
121,333293.666,1964214.232,17.75894399,-64.57245749,-41.409, ,0.750
122,333293.647,1964214.303,17.75894463,-64.57245768,-41.495, ,0.710
123,333293.571,1964214.511,17.75894651,-64.57245841,-41.531, ,0.860
124,333293.602,1964214.596,17.75894728,-64.57245813,-41.374, ,1.020
125,333293.506,1964214.745,17.75894862,-64.57245904,-41.657, ,1.080
126,333293.690,1964214.884,17.75894989,-64.57245732,-41.535, ,0.870
127,333293.934,1964215.014,17.75895108,-64.57245503,-41.506, ,0.870
128,333294.009,1964215.317,17.75895382,-64.57245434,-41.425, ,0.490
129,333294.141,1964215.576,17.75895617,-64.57245312,-41.479, ,0.740
130,333294.235,1964215.826,17.75895844,-64.57245225,-41.457, ,0.780
131,333294.208,1964216.212,17.75896193,-64.57245254,-41.478, ,0.720
132,333294.275,1964216.661,17.75896599,-64.57245194,-41.561, ,1.370
133,333294.432,1964217.054,17.75896955,-64.57245049,-41.585, ,1.480
134,333294.488,1964217.432,17.75897297,-64.57244999,-41.545, ,1.640
135,333294.646,1964217.811,17.75897641,-64.57244853,-41.462, ,1.700
136,333294.963,1964218.118,17.75897920,-64.57244557,-41.543, ,1.820
137,333295.031,1964218.716,17.75898461,-64.57244498,-41.413, ,2.000
138,333295.158,1964219.073,17.75898785,-64.57244381,-41.342, ,1.920
139,333295.257,1964219.675,17.75899329,-64.57244292,-41.511, ,1.880
140,333295.465,1964220.383,17.75899971,-64.57244101,-41.461, ,1.970
141,333295.742,1964221.134,17.75900651,-64.57243846,-41.533, ,1.690
142,333295.918,1964221.856,17.75901305,-64.57243686,-41.498, ,1.740
143,333296.300,1964222.557,17.75901941,-64.57243331,-41.552, ,1.700
144,333296.778,1964223.159,17.75902489,-64.57242885,-41.443, ,1.800
145,333297.711,1964224.912,17.75904080,-64.57242019,-41.356, ,1.760
146,333298.241,1964225.762,17.75904852,-64.57241526,-41.463, ,1.850
147,333299.554,1964227.299,17.75906251,-64.57240300,-41.461, ,1.830
148,333300.073,1964228.015,17.75906901,-64.57239816,-41.409, ,2.040
149,333300.514,1964228.727,17.75907548,-64.57239406,-41.577, ,1.760
150,333300.667,1964229.089,17.75907876,-64.57239265,-41.560, ,1.910
151,333301.051,1964229.441,17.75908197,-64.57238905,-41.452, ,2.040
152,333301.272,1964229.761,17.75908488,-64.57238700,-41.445, ,1.970
153,333301.844,1964229.890,17.75908609,-64.57238161,-41.551, ,1.980
154,333302.365,1964229.902,17.75908624,-64.57237670,-41.443, ,2.040
155,333302.694,1964229.795,17.75908530,-64.57237359,-41.420, ,2.190
156,333303.421,1964229.884,17.75908616,-64.57236674,-41.568, ,2.190
157,333303.992,1964229.939,17.75908670,-64.57236136,-41.442, ,2.140
158,333304.626,1964230.174,17.75908887,-64.57235540,-41.545, ,2.320
159,333305.127,1964230.385,17.75909081,-64.57235069,-41.422, ,2.320
160,333305.303,1964230.665,17.75909335,-64.57234905,-41.478, ,2.350
161,333305.454,1964230.947,17.75909591,-64.57234765,-41.450, ,2.290
162,333305.570,1964231.155,17.75909780,-64.57234658,-41.403, ,2.410
163,333305.620,1964231.430,17.75910029,-64.57234613,-41.552, ,2.350
164,333305.779,1964231.698,17.75910272,-64.57234465,-41.406, ,2.380
165,333305.985,1964231.773,17.75910342,-64.57234271,-41.212, ,2.250
166,333306.064,1964232.151,17.75910684,-64.57234200,-41.569, ,2.370
167,333306.354,1964232.709,17.75911190,-64.57233931,-41.469, ,2.290
168,333306.599,1964233.149,17.75911590,-64.57233703,-41.403, ,2.560
169,333306.765,1964233.789,17.75912169,-64.57233551,-41.577, ,2.200
170,333306.969,1964234.439,17.75912758,-64.57233364,-41.474, ,2.130
171,333307.140,1964235.123,17.75913377,-64.57233208,-41.538, ,2.230
172,333307.405,1964235.826,17.75914015,-64.57232964,-41.501, ,2.310
173,333307.705,1964236.456,17.75914586,-64.57232686,-41.465, ,2.200
174,333307.872,1964237.306,17.75915355,-64.57232535,-41.534, ,2.400
175,333308.147,1964238.023,17.75916005,-64.57232282,-41.392, ,2.290
176,333308.361,1964238.502,17.75916440,-64.57232084,-41.330, ,2.220
177,333308.705,1964239.034,17.75916923,-64.57231763,-41.417, ,2.260
178,333309.108,1964239.874,17.75917685,-64.57231390,-41.492, ,2.160
179,333309.459,1964240.714,17.75918447,-64.57231066,-41.477, ,2.140
180,333310.130,1964241.385,17.75919058,-64.57230438,-41.420, ,1.980
181,333310.630,1964242.107,17.75919714,-64.57229972,-41.506, ,1.950
182,333311.085,1964242.873,17.75920410,-64.57229549,-41.554, ,1.860
183,333311.632,1964243.371,17.75920864,-64.57229038,-41.428, ,1.450
184,333311.944,1964243.773,17.75921229,-64.57228747,-41.108, ,1.510
185,333312.486,1964244.151,17.75921575,-64.57228238,-41.537, ,1.480
186,333313.252,1964244.513,17.75921908,-64.57227519,-41.532, ,1.480
187,333313.869,1964244.866,17.75922231,-64.57226940,-41.590, ,1.600
188,333314.669,1964245.411,17.75922730,-64.57226190,-41.450, ,1.580
189,333315.565,1964245.768,17.75923059,-64.57225348,-41.657, ,0.460
190,333316.299,1964246.324,17.75923567,-64.57224660,-41.555, ,0.400
191,333316.889,1964246.927,17.75924116,-64.57224108,-41.439, ,1.450
192,333317.373,1964247.302,17.75924459,-64.57223655,-41.440, ,1.550
193,333317.589,1964247.662,17.75924786,-64.57223454,-41.283, ,2.000
194,333317.886,1964248.073,17.75925159,-64.57223177,-41.398, ,1.980
195,333318.062,1964248.640,17.75925673,-64.57223016,-41.443, ,1.770
196,333318.438,1964249.011,17.75926011,-64.57222664,-41.355, ,1.770
197,333318.663,1964249.378,17.75926344,-64.57222455,-41.518, ,1.630
198,333319.014,1964249.749,17.75926682,-64.57222127,-41.530, ,1.600
199,333319.391,1964250.084,17.75926988,-64.57221774,-41.601, ,1.320
200,333319.700,1964250.123,17.75927025,-64.57221483,-41.577, ,1.740
201,333319.847,1964249.900,17.75926825,-64.57221342,-41.434, ,1.570
202,333320.053,1964249.805,17.75926741,-64.57221147,-41.501, ,1.360
203,333320.375,1964250.000,17.75926919,-64.57220845,-41.481, ,1.540
204,333320.705,1964250.289,17.75927183,-64.57220536,-41.336, ,1.370
205,333320.863,1964250.578,17.75927445,-64.57220390,-41.556, ,1.180
206,333320.893,1964250.977,17.75927806,-64.57220365,-41.467, ,1.090
207,333320.959,1964251.494,17.75928274,-64.57220306,-41.539, ,1.200
208,333320.379,1964252.735,17.75929391,-64.57220863,-41.501, ,1.290
209,333319.816,1964252.497,17.75929171,-64.57221392,-41.245, ,1.430
210,333319.454,1964252.354,17.75929039,-64.57221732,-41.486, ,1.200
211,333319.170,1964252.515,17.75929183,-64.57222002,-41.385, ,1.200
212,333319.107,1964252.755,17.75929399,-64.57222063,-41.359, ,1.480
213,333318.908,1964253.128,17.75929735,-64.57222253,-41.458, ,1.400
214,333318.732,1964254.355,17.75930842,-64.57222429,-41.484, ,1.430
215,333318.592,1964254.608,17.75931069,-64.57222563,-41.514, ,0.340
216,333318.393,1964255.199,17.75931602,-64.57222755,-41.533, ,0.380
217,333318.203,1964255.635,17.75931994,-64.57222938,-41.590, ,0.350
218,333318.069,1964256.361,17.75932649,-64.57223070,-41.566, ,0.370
219,333318.013,1964256.911,17.75933146,-64.57223127,-41.582, ,0.460
220,333317.671,1964257.354,17.75933544,-64.57223453,-41.391, ,0.430
221,333317.254,1964257.509,17.75933681,-64.57223848,-41.198, ,0.380
222,333316.861,1964257.538,17.75933704,-64.57224219,-41.473, ,0.350
223,333316.534,1964257.939,17.75934064,-64.57224530,-41.487, ,0.400
224,333315.982,1964258.349,17.75934430,-64.57225054,-41.448, ,0.470
225,333315.479,1964258.773,17.75934809,-64.57225531,-41.492, ,0.440
226,333315.084,1964259.122,17.75935122,-64.57225907,-41.490, ,0.370
