PTID,EAST,NORTH,LAT,LON,ELLIPSOID_ELEV,ORTHOMETRIC_ELEV,SONARDEPTH
WPNT_01,333092.924,1964343.186,17.76009387,-64.57436068,-33.206,8.093, 
WPNT_02,333291.887,1964167.375,17.75852040,-64.57247058,-39.903,1.394, 
WPNT_03,333346.251,1964113.979,17.75804205,-64.57195372,-39.810,1.486, 
TPS0001,333103.282,1964350.781,17.76016328,-64.57426360,-34.542,6.758, 
CP10,333261.385,1964202.112,17.75883196,-64.57276095,-40.297,1.000, 
CP11,333237.135,1964225.041,17.75903730,-64.57299144,-40.403,0.895, 
CP12,333223.359,1964236.865,17.75914309,-64.57312228,-40.476,0.822, 
WCP10,333273.569,1964217.533,17.75897221,-64.57264728,-41.809,-0.511, 
WCP11,333247.134,1964243.988,17.75920924,-64.57289864,-42.141,-0.843, 
WCP12,333232.042,1964253.365,17.75929282,-64.57304170,-42.324,-1.025, 
WCP13,333215.352,1964267.545,17.75941969,-64.57320020,-42.352,-1.054, 
WCP14,333194.279,1964283.763,17.75956462,-64.57340020,-42.383,-1.084, 
WCP15,333172.887,1964301.791,17.75972590,-64.57360335,-42.329,-1.030, 
WCP16,333090.037,1964369.094,17.76032773,-64.57438995,-41.741,-0.441, 
TOF,333085.482,1964339.934,17.76006391,-64.57443060,-32.579,8.720, 
