PTID,EAST,NORTH,LAT,LON,ELLIPSOID_ELEV,ORTHOMETRIC_ELEV,SONARDEPTH
ISC_03,333257.384,1963192.148,17.74970618,-64.57271894,-39.469,1.805, 
ISC_01,333594.429,1963425.750,17.75184235,-64.56955921,-40.517,0.768, 
ISC_02,333383.330,1963339.883,17.75105055,-64.57154300,-33.207,8.072, 
TPS0001,333418.917,1963344.714,17.75109689,-64.57120781,-38.415,2.865, 
CP10,333524.890,1963410.209,17.75169667,-64.57021370,-38.834,2.449, 
CP11,333429.596,1963361.327,17.75124781,-64.57110843,-39.544,1.736, 
CP12,333413.911,1963341.270,17.75106540,-64.57125474,-39.980,1.299, 
CP13,333282.218,1963219.202,17.74995251,-64.57248691,-39.574,1.701, 
CP14,333370.887,1963280.476,17.75051285,-64.57165565,-42.005,-0.728, 
CP15,333405.239,1963307.318,17.75075797,-64.57133384,-42.243,-0.965, 
CP16,333425.130,1963327.245,17.75093953,-64.57114785,-42.001,-0.722, 
CP17,333450.346,1963348.036,17.75112928,-64.57091172,-42.074,-0.794, 
CP18,333491.419,1963373.198,17.75135974,-64.57052640,-41.944,-0.663, 
CP19,333531.260,1963398.397,17.75159043,-64.57015271,-41.929,-0.646, 
P100,333526.551,1963407.585,17.75167309,-64.57019783,-40.636,0.647, 
P101,333526.789,1963406.860,17.75166656,-64.57019554,-40.673,0.610, 
P102,333527.165,1963406.109,17.75165980,-64.57019192,-40.838,0.445, 
P103,333527.519,1963405.120,17.75165089,-64.57018851,-41.052,0.231, 
P104,333527.813,1963404.191,17.75164252,-64.57018566,-41.176,0.107, 
P105,333528.298,1963403.092,17.75163263,-64.57018101,-41.359,-0.076, 
P106,333529.135,1963401.873,17.75162167,-64.57017302,-41.516,-0.233, 
P107,333529.692,1963400.784,17.75161188,-64.57016768,-41.674,-0.392, 
P108,333530.228,1963399.921,17.75160412,-64.57016256,-41.801,-0.519, 
P109,333530.775,1963398.958,17.75159546,-64.57015732,-41.913,-0.630, 
P110,333531.067,1963397.835,17.75158534,-64.57015449,-42.015,-0.732, 
P111,333531.508,1963397.015,17.75157796,-64.57015026,-41.988,-0.705, 
P112,333531.898,1963396.175,17.75157040,-64.57014652,-42.155,-0.873, 
P113,333532.214,1963395.271,17.75156225,-64.57014346,-42.159,-0.876, 
P114,333532.620,1963394.194,17.75155255,-64.57013955,-42.346,-1.063, 
P115,333516.536,1963387.118,17.75148741,-64.57029066,-42.330,-1.048, 
P116,333515.666,1963388.062,17.75149587,-64.57029893,-42.006,-0.723, 
P117,333515.103,1963388.934,17.75150371,-64.57030431,-41.952,-0.669, 
P118,333514.434,1963389.756,17.75151108,-64.57031068,-41.719,-0.436, 
P119,333513.785,1963390.473,17.75151751,-64.57031687,-41.744,-0.461, 
P120,333513.221,1963391.356,17.75152544,-64.57032225,-41.625,-0.343, 
P121,333512.403,1963392.232,17.75153330,-64.57033003,-41.441,-0.158, 
P122,333511.472,1963393.242,17.75154236,-64.57033889,-41.288,-0.005, 
P123,333510.682,1963394.120,17.75155023,-64.57034641,-41.134,0.148, 
P124,333509.803,1963394.909,17.75155730,-64.57035476,-40.980,0.302, 
P125,333509.056,1963395.921,17.75156639,-64.57036188,-40.767,0.515, 
P126,333508.421,1963396.771,17.75157402,-64.57036794,-40.587,0.696, 
P127,333507.771,1963397.732,17.75158264,-64.57037415,-40.406,0.876, 
P128,333499.219,1963390.975,17.75152095,-64.57045425,-40.502,0.780, 
P129,333499.623,1963390.083,17.75151292,-64.57045038,-40.511,0.771, 
P130,333500.309,1963389.066,17.75150378,-64.57044382,-40.886,0.396, 
P131,333500.835,1963388.253,17.75149648,-64.57043880,-41.044,0.238, 
P132,333501.520,1963387.271,17.75148765,-64.57043227,-41.181,0.101, 
P133,333502.088,1963386.323,17.75147913,-64.57042683,-41.278,0.004, 
P134,333502.802,1963385.202,17.75146906,-64.57042001,-41.382,-0.100, 
P135,333503.254,1963384.124,17.75145935,-64.57041566,-41.499,-0.217, 
P136,333503.830,1963382.947,17.75144876,-64.57041014,-41.669,-0.387, 
P137,333504.407,1963382.029,17.75144051,-64.57040463,-41.888,-0.606, 
P138,333504.986,1963381.031,17.75143154,-64.57039908,-42.003,-0.721, 
P139,333505.353,1963380.103,17.75142318,-64.57039555,-42.085,-0.803, 
P140,333505.709,1963379.146,17.75141456,-64.57039212,-42.157,-0.876, 
P141,333506.314,1963378.279,17.75140677,-64.57038635,-42.020,-0.739, 
P142,333507.122,1963377.397,17.75139886,-64.57037866,-42.102,-0.820, 
P143,333507.743,1963376.586,17.75139158,-64.57037274,-42.206,-0.924, 
P144,333508.443,1963375.630,17.75138299,-64.57036606,-42.256,-0.974, 
P145,333508.890,1963374.820,17.75137571,-64.57036179,-42.316,-1.034, 
P146,333509.338,1963373.809,17.75136661,-64.57035748,-42.384,-1.102, 
P147,333509.780,1963373.111,17.75136033,-64.57035326,-42.421,-1.139, 
P148,333496.805,1963368.571,17.75131834,-64.57047524,-42.456,-1.174, 
P149,333496.169,1963369.224,17.75132419,-64.57048130,-42.470,-1.189, 
P150,333495.323,1963369.939,17.75133058,-64.57048933,-42.353,-1.071, 
P151,333494.452,1963370.809,17.75133838,-64.57049761,-42.288,-1.006, 
P152,333493.715,1963371.753,17.75134686,-64.57050464,-42.174,-0.892, 
P153,333492.848,1963372.785,17.75135611,-64.57051289,-42.088,-0.806, 
P154,333492.272,1963373.750,17.75136478,-64.57051840,-42.036,-0.755, 
P155,333491.626,1963374.691,17.75137324,-64.57052457,-41.946,-0.664, 
P156,333491.049,1963375.627,17.75138166,-64.57053008,-41.824,-0.542, 
