PTID,EAST,NORTH,LAT,LON,ELLIPSOID_ELEV,ORTHOMETRIC_ELEV,SONARDEPTH
149,328857.968,1961549.680,17.73452901,-64.61406940,-42.140, ,1.320
150,328858.115,1961548.604,17.73451930,-64.61406793,-42.114, ,1.430
151,328858.128,1961546.956,17.73450442,-64.61406767,-42.163, ,1.460
152,328858.051,1961545.585,17.73449202,-64.61406829,-42.183, ,1.420
153,328857.889,1961544.166,17.73447919,-64.61406970,-42.128, ,1.610
154,328857.956,1961543.184,17.73447032,-64.61406899,-42.148, ,1.600
155,328857.892,1961542.223,17.73446163,-64.61406952,-42.120, ,1.640
156,328857.876,1961540.926,17.73444991,-64.61406956,-42.204, ,1.660
157,328857.812,1961539.835,17.73444005,-64.61407008,-42.105, ,1.830
158,328857.789,1961538.789,17.73443060,-64.61407021,-42.129, ,1.890
159,328857.873,1961537.809,17.73442175,-64.61406934,-42.125, ,2.000
160,328857.878,1961536.837,17.73441297,-64.61406921,-42.078, ,1.970
161,328858.024,1961535.886,17.73440439,-64.61406776,-42.089, ,1.890
162,328858.074,1961534.863,17.73439515,-64.61406721,-42.113, ,1.920
163,328858.191,1961533.868,17.73438617,-64.61406602,-42.150, ,1.950
164,328858.346,1961532.860,17.73437707,-64.61406448,-42.073, ,2.030
165,328858.530,1961531.877,17.73436820,-64.61406266,-42.186, ,1.920
166,328858.739,1961530.931,17.73435967,-64.61406062,-42.151, ,2.030
167,328859.051,1961530.027,17.73435153,-64.61405760,-42.139, ,1.910
168,328859.370,1961529.108,17.73434325,-64.61405452,-42.173, ,1.640
169,328859.668,1961528.133,17.73433446,-64.61405163,-42.167, ,1.660
170,328860.050,1961527.232,17.73432635,-64.61404796,-42.083, ,1.460
171,328860.256,1961526.343,17.73431834,-64.61404594,-42.145, ,1.450
172,328860.555,1961525.354,17.73430942,-64.61404304,-42.116, ,1.370
173,328860.786,1961524.375,17.73430060,-64.61404079,-42.144, ,1.430
174,328860.952,1961523.400,17.73429180,-64.61403914,-42.175, ,1.360
175,328861.190,1961522.379,17.73428259,-64.61403682,-42.117, ,1.420
176,328861.416,1961521.453,17.73427424,-64.61403461,-42.136, ,1.370
177,328861.548,1961520.439,17.73426509,-64.61403328,-42.166, ,1.400
178,328861.762,1961519.414,17.73425585,-64.61403118,-42.131, ,1.540
179,328861.919,1961518.383,17.73424654,-64.61402962,-42.147, ,1.480
