PTID,EAST,NORTH,LAT,LON,ELLIPSOID_ELEV,ORTHOMETRIC_ELEV,SONARDEPTH
ROD_01,328711.317,1961563.956,17.73464654,-64.61545326,-39.745,1.425, 
ROD_02,328797.914,1961604.643,17.73502087,-64.61464008,-39.639,1.533, 
ROD_03,328939.270,1961620.117,17.73517165,-64.61330856,-40.587,0.587, 
TPS0001,328833.299,1961614.443,17.73511217,-64.61430725,-38.711,2.461, 
CP_10,328727.955,1961571.802,17.73471872,-64.61529702,-39.963,1.207, 
CP_11,328733.096,1961555.460,17.73457146,-64.61524722,-41.935,-0.765, 
CP_12,328771.332,1961571.275,17.73471732,-64.61488800,-41.508,-0.337, 
CP_13,328799.663,1961602.094,17.73499798,-64.61462338,-40.308,0.864, 
CP_14,328806.055,1961583.111,17.73482696,-64.61456158,-41.893,-0.722, 
CP_15,328817.552,1961610.754,17.73507761,-64.61445541,-40.004,1.168, 
CP_16,328836.088,1961597.269,17.73495720,-64.61427956,-41.904,-0.732, 
CP_17_TOFF,328845.069,1961619.937,17.73516272,-64.61419672,-39.972,1.200, 
CP_18,328857.600,1961623.229,17.73519343,-64.61407883,-40.099,1.074, 
CP_19,328860.896,1961607.245,17.73504927,-64.61404646,-41.784,-0.612, 
CP_20,328881.503,1961625.052,17.73521176,-64.61385361,-40.212,0.961, 
CP_21,328886.479,1961610.678,17.73508227,-64.61380554,-41.775,-0.603, 
P10,328867.000,1961620.811,17.73517232,-64.61399001,-40.428,0.745, 
P11,328867.325,1961618.480,17.73515128,-64.61398676,-41.043,0.130, 
P12,328867.802,1961616.873,17.73513679,-64.61398213,-41.226,-0.054, 
P13,328868.266,1961615.213,17.73512183,-64.61397762,-41.396,-0.223, 
P14,328868.745,1961613.145,17.73510319,-64.61397294,-41.444,-0.272, 
P15,328869.274,1961611.263,17.73508623,-64.61396780,-41.588,-0.415, 
P16,328870.111,1961609.365,17.73506914,-64.61395976,-41.801,-0.628, 
P17,328870.936,1961607.189,17.73504954,-64.61395180,-41.905,-0.733, 
P18,328871.941,1961605.364,17.73503313,-64.61394217,-41.993,-0.821, 
P19,328872.654,1961603.790,17.73501897,-64.61393533,-42.112,-0.939, 
P20,328821.450,1961605.276,17.73502842,-64.61441823,-40.799,0.373, 
P21,328821.593,1961605.062,17.73502649,-64.61441686,-40.894,0.277, 
P22,328821.598,1961605.001,17.73502594,-64.61441681,-41.024,0.147, 
P23,328822.038,1961604.017,17.73501709,-64.61441257,-41.293,-0.121, 
P24,328822.744,1961602.448,17.73500296,-64.61440579,-41.325,-0.154, 
P25,328823.012,1961601.503,17.73499445,-64.61440319,-41.328,-0.156, 
P26,328823.427,1961600.676,17.73498701,-64.61439921,-41.476,-0.304, 
P27,328823.522,1961600.380,17.73498434,-64.61439829,-41.664,-0.493, 
P28,328823.927,1961599.877,17.73497983,-64.61439443,-41.365,-0.193, 
P29,328824.946,1961597.864,17.73496172,-64.61438466,-41.419,-0.247, 
P30,328825.851,1961595.425,17.73493976,-64.61437593,-41.601,-0.429, 
P31,328826.589,1961593.876,17.73492582,-64.61436884,-41.796,-0.625, 
P32,328827.039,1961592.538,17.73491376,-64.61436450,-41.984,-0.813, 
P33,328827.435,1961591.266,17.73490230,-64.61436066,-42.010,-0.839, 
P34,328827.592,1961590.205,17.73489272,-64.61435909,-42.083,-0.912, 
P35,328827.956,1961589.184,17.73488353,-64.61435558,-42.100,-0.929, 
P36,328828.052,1961588.326,17.73487578,-64.61435461,-42.105,-0.933, 
P37,328828.194,1961587.848,17.73487148,-64.61435323,-42.210,-1.038, 
P38,328828.341,1961587.131,17.73486501,-64.61435178,-42.227,-1.056, 
P39,328826.456,1961586.652,17.73486053,-64.61436951,-41.999,-0.827, 
P40,328824.228,1961585.552,17.73485042,-64.61439043,-41.654,-0.482, 
P41,328822.154,1961584.674,17.73484233,-64.61440992,-41.645,-0.474, 
P42,328821.219,1961586.960,17.73486291,-64.61441892,-41.614,-0.443, 
P43,328820.851,1961589.254,17.73488361,-64.61442257,-41.517,-0.345, 
P44,328820.280,1961591.835,17.73490689,-64.61442816,-41.577,-0.406, 
P45,328821.743,1961595.767,17.73494252,-64.61441469,-41.923,-0.751, 
P46,328782.014,1961589.479,17.73488263,-64.61478876,-40.710,0.461, 
P47,328782.594,1961587.507,17.73486485,-64.61478314,-41.203,-0.032, 
P48,328783.037,1961586.388,17.73485478,-64.61477887,-41.311,-0.140, 
P49,328783.231,1961585.650,17.73484813,-64.61477698,-41.268,-0.097, 
P50,328783.750,1961583.601,17.73482965,-64.61477192,-41.372,-0.201, 
P51,328784.251,1961582.065,17.73481582,-64.61476707,-41.515,-0.344, 
P52,328784.892,1961580.147,17.73479853,-64.61476087,-41.551,-0.380, 
P53,328785.361,1961578.288,17.73478177,-64.61475630,-41.579,-0.408, 
P54,328785.937,1961575.903,17.73476027,-64.61475068,-41.537,-0.366, 
P55,328786.675,1961573.847,17.73474176,-64.61474356,-41.667,-0.496, 
P56,328787.295,1961572.249,17.73472736,-64.61473758,-41.821,-0.650, 
P57,328787.521,1961571.282,17.73471864,-64.61473537,-41.960,-0.789, 
P58,328787.585,1961570.396,17.73471064,-64.61473469,-42.122,-0.952, 
P59,328787.747,1961569.894,17.73470612,-64.61473312,-42.308,-1.137, 
