PTID,EAST,NORTH,LAT,LON,ELLIPSOID_ELEV,ORTHOMETRIC_ELEV,SONARDEPTH
JACK_01,332647.684,1962761.151,17.74576574,-64.57843391,-40.607,0.650, 
JACK_02,332600.162,1962890.330,17.74692932,-64.57889224,-40.000,1.258, 
JACK_03,332396.613,1962937.688,17.74734176,-64.58081531,-38.270,2.984, 
TPS0001,332653.128,1962835.537,17.74643827,-64.57838847,-38.915,2.343, 
CP10,332484.252,1962921.941,17.74720614,-64.57998769,-40.322,0.934, 
CP11,332544.061,1962907.412,17.74707941,-64.57942258,-40.397,0.860, 
CP12,332607.725,1962883.909,17.74687188,-64.57882042,-40.251,1.006, 
CP13,332637.787,1962859.158,17.74665053,-64.57853499,-40.448,0.810, 
CP14,332659.656,1962825.297,17.74634624,-64.57832611,-40.538,0.720, 
CP15,332654.277,1962768.578,17.74583335,-64.57837233,-40.640,0.617, 
WCP10,332634.601,1962774.380,17.74588428,-64.57855832,-41.978,-0.722, 
WCP11,332622.686,1962796.479,17.74608305,-64.57867242,-41.941,-0.684, 
WCP12,332625.916,1962829.285,17.74637971,-64.57864456,-42.245,-0.988, 
WCP13,332609.357,1962835.757,17.74643693,-64.57880121,-42.507,-1.251, 
WCP_14,332535.279,1962880.256,17.74683337,-64.57950324,-42.262,-1.006, 
P10,332510.365,1962914.719,17.74714287,-64.57974089,-40.225,1.031, 
P11,332509.824,1962912.736,17.74712491,-64.57974583,-40.609,0.647, 
P12,332508.967,1962909.024,17.74709130,-64.57975362,-41.248,0.008, 
P13,332508.038,1962905.076,17.74705556,-64.57976207,-41.623,-0.368, 
P14,332507.289,1962901.734,17.74702531,-64.57976887,-41.785,-0.530, 
P15,332505.887,1962896.056,17.74697390,-64.57978163,-42.165,-0.909, 
P16,332505.283,1962893.408,17.74694993,-64.57978712,-42.294,-1.038, 
P17,332504.768,1962891.376,17.74693153,-64.57979181,-42.379,-1.123, 
P18,332615.076,1962865.664,17.74670759,-64.57874966,-40.594,0.663, 
P19,332614.367,1962864.699,17.74669881,-64.57875627,-40.725,0.533, 
P20,332612.898,1962862.006,17.74667437,-64.57876990,-41.102,0.155, 
P21,332611.395,1962859.255,17.74664940,-64.57878386,-41.380,-0.123, 
P22,332610.796,1962858.187,17.74663970,-64.57878943,-41.508,-0.251, 
P23,332610.434,1962857.720,17.74663546,-64.57879280,-41.702,-0.445, 
P24,332610.231,1962857.172,17.74663049,-64.57879467,-41.579,-0.322, 
P25,332609.233,1962855.160,17.74661223,-64.57880392,-41.720,-0.463, 
P26,332607.888,1962852.373,17.74658695,-64.57881638,-41.921,-0.664, 
P27,332606.874,1962850.675,17.74657154,-64.57882581,-42.029,-0.772, 
P28,332605.302,1962848.353,17.74655044,-64.57884044,-42.161,-0.904, 
P29,332604.023,1962846.310,17.74653188,-64.57885235,-42.281,-1.025, 
P30,332602.569,1962844.141,17.74651217,-64.57886588,-42.415,-1.158, 
P31,332601.094,1962842.375,17.74649610,-64.57887965,-42.505,-1.248, 
P32,332599.452,1962840.217,17.74647648,-64.57889496,-42.595,-1.338, 
P33,332598.472,1962838.912,17.74646461,-64.57890410,-42.377,-1.121, 
P34,332647.626,1962753.570,17.74569724,-64.57843386,-39.269,1.987, 
P35,332645.581,1962753.991,17.74570089,-64.57845318,-40.332,0.924, 
P36,332645.587,1962754.001,17.74570098,-64.57845312,-40.597,0.659, 
P37,332644.041,1962754.753,17.74570766,-64.57846776,-40.551,0.706, 
P38,332642.703,1962755.368,17.74571311,-64.57848042,-40.944,0.313, 
P39,332640.882,1962755.684,17.74571583,-64.57849762,-41.396,-0.140, 
P40,332639.454,1962756.231,17.74572066,-64.57851113,-41.261,-0.005, 
P41,332637.333,1962756.738,17.74572508,-64.57853116,-41.696,-0.440, 
P42,332636.191,1962757.183,17.74572902,-64.57854196,-41.913,-0.656, 
P43,332634.519,1962757.673,17.74573331,-64.57855777,-41.830,-0.574, 
P44,332633.359,1962757.909,17.74573537,-64.57856873,-41.773,-0.517, 
P45,332631.482,1962758.524,17.74574078,-64.57858648,-41.955,-0.699, 
P46,332629.017,1962758.260,17.74573821,-64.57860969,-42.035,-0.778, 
P47,332626.753,1962758.474,17.74573997,-64.57863107,-42.132,-0.876, 
P48,332625.192,1962758.842,17.74574318,-64.57864581,-42.223,-0.967, 
P49,332624.041,1962758.852,17.74574318,-64.57865666,-42.269,-1.014, 
P50,332623.174,1962759.046,17.74574486,-64.57866485,-42.531,-1.275, 
P51,332621.904,1962759.802,17.74575159,-64.57867689,-42.554,-1.298, 
P52,332640.134,1962745.800,17.74562647,-64.57850389,-40.992,0.264, 
P53,332637.597,1962746.081,17.74562881,-64.57852783,-41.549,-0.293, 
P54,332634.617,1962746.876,17.74563577,-64.57855600,-41.297,-0.041, 
P55,332631.932,1962747.176,17.74563827,-64.57858133,-41.940,-0.684, 
P56,332629.800,1962748.083,17.74564631,-64.57860151,-41.970,-0.714, 
P57,332628.038,1962748.405,17.74564908,-64.57861815,-42.224,-0.968, 
