pid,UTMx,UTMy,h
stx01,327758.986333,1967691.906038,-34.371000
138,327599.991492,1967663.250986,-38.895000
139,327599.673655,1967663.280306,-38.857000
140,327599.129036,1967663.323768,-38.854000
141,327598.565692,1967663.286598,-38.822000
142,327597.915477,1967663.257928,-38.806000
143,327597.480386,1967663.093471,-38.806000
144,327597.075840,1967662.905507,-38.837000
145,327596.659407,1967662.813936,-38.878000
146,327596.204700,1967662.710522,-38.900000
147,327595.719088,1967662.711415,-38.921000
148,327595.288478,1967662.574589,-38.872000
149,327594.875998,1967662.449780,-38.812000
150,327594.499056,1967662.266003,-38.816000
151,327594.105932,1967662.050270,-38.816000
152,327593.563956,1967662.031730,-38.892000
153,327592.994337,1967662.004574,-38.876000
154,327592.453963,1967661.926254,-38.841000
155,327592.034324,1967661.709644,-38.825000
156,327591.622530,1967661.541665,-38.834000
157,327591.153387,1967661.363115,-38.904000
158,327590.629803,1967661.264726,-38.919000
159,327590.124532,1967661.199382,-38.904000
160,327589.660173,1967661.205624,-38.930000
161,327589.285630,1967661.053924,-38.863000
162,327588.893969,1967660.884663,-38.759000
163,327588.473568,1967660.702370,-38.773000
164,327587.953046,1967660.712420,-38.750000
165,327587.374734,1967660.660991,-38.834000
166,327586.796695,1967660.518804,-38.860000
167,327586.263747,1967660.318672,-38.841000
168,327585.783848,1967660.122508,-38.796000
169,327585.376691,1967659.878120,-38.871000
170,327584.968173,1967659.721180,-38.894000
171,327584.571461,1967659.580740,-38.903000
172,327584.028573,1967659.457063,-38.839000
173,327583.640458,1967659.329829,-38.850000
174,327583.151616,1967659.080617,-38.852000
175,327582.498440,1967658.832830,-38.854000
176,327581.960607,1967658.558586,-38.858000
177,327581.496811,1967658.140924,-38.832000
178,327581.020485,1967657.745507,-38.777000
179,327580.359138,1967657.411462,-38.843000
180,327579.599209,1967657.080485,-38.886000
181,327578.793556,1967656.734411,-38.872000
182,327577.778455,1967656.567239,-38.869000
183,327576.765671,1967656.300437,-38.890000
184,327575.735135,1967655.943032,-38.849000
185,327574.676309,1967655.624610,-38.837000
186,327573.600550,1967655.554255,-38.865000
187,327572.575108,1967655.661656,-38.840000
188,327571.555195,1967655.550972,-38.780000
189,327570.547244,1967655.719095,-38.879000
190,327569.468823,1967655.708530,-38.876000
191,327568.447577,1967655.688614,-38.835000
192,327567.454081,1967655.934087,-38.899000
193,327566.361015,1967656.068638,-38.861000
194,327565.302336,1967656.256016,-38.879000
195,327564.222924,1967656.497807,-38.874000
196,327563.122743,1967656.667837,-38.835000
197,327561.993846,1967656.949902,-38.889000
198,327560.827705,1967656.972195,-38.850000
199,327559.661479,1967657.229128,-38.840000
200,327558.587481,1967657.239554,-38.746000
201,327557.344572,1967657.212708,-38.783000
202,327556.377995,1967657.505540,-38.895000
203,327554.846414,1967657.814341,-38.840000
204,327553.667533,1967658.079132,-38.812000
205,327552.576303,1967658.058718,-38.771000
206,327551.463240,1967658.088298,-38.804000
207,327550.325266,1967658.301822,-38.898000
208,327549.220462,1967658.672221,-38.948000
209,327548.097773,1967658.936524,-38.893000
210,327547.153678,1967659.376363,-38.810000
211,327546.408254,1967659.983817,-38.914000
212,327545.412400,1967660.446241,-38.870000
213,327544.492798,1967661.142642,-38.908000
214,327543.504573,1967661.751095,-38.881000
215,327542.488705,1967662.350935,-38.740000
216,327541.549478,1967663.107273,-38.909000
217,327540.473418,1967663.735304,-38.877000
218,327539.452144,1967664.323016,-38.847000
219,327538.407645,1967664.800251,-38.837000
220,327537.375705,1967665.258561,-38.837000
221,327536.547742,1967665.762694,-38.827000
222,327535.715416,1967666.130729,-38.827000
223,327534.816250,1967666.738410,-38.813000
224,327534.169918,1967667.401450,-38.936000
225,327533.319042,1967667.953373,-38.903000
226,327532.474438,1967668.617027,-38.975000
227,327531.409751,1967668.967157,-38.860000
228,327530.488436,1967669.588313,-38.899000
229,327529.563029,1967670.104359,-38.799000
230,327528.597332,1967670.620755,-38.750000
231,327527.724289,1967671.183938,-38.831000
232,327526.768705,1967671.643800,-38.788000
233,327525.925575,1967672.355033,-38.848000
234,327524.950865,1967672.932381,-38.865000
235,327524.002628,1967673.627925,-38.996000
236,327522.996899,1967674.296298,-38.894000
237,327522.102341,1967674.945998,-38.903000
238,327521.283814,1967675.437874,-38.790000
239,327520.356079,1967675.807845,-38.774000
240,327519.529259,1967676.443676,-38.884000
241,327518.429143,1967676.743202,-38.834000
242,327517.518178,1967677.457238,-38.907000
243,327516.580112,1967678.102889,-38.903000
244,327515.764356,1967678.791749,-38.946000
245,327515.003491,1967679.452464,-38.792000
246,327514.103716,1967679.867570,-38.801000
247,327513.305394,1967680.610512,-38.842000
248,327512.398587,1967681.192805,-38.860000
249,327511.472818,1967681.911397,-38.876000
250,327510.528660,1967682.588091,-38.862000
251,327509.517932,1967683.169072,-38.810000
252,327508.521917,1967683.612684,-38.814000
253,327507.471673,1967684.160805,-38.814000
254,327506.552284,1967684.881556,-38.868000
255,327505.620100,1967685.471816,-38.816000
256,327504.900623,1967686.136599,-38.840000
257,327503.897574,1967686.502798,-38.782000
258,327503.147770,1967687.338289,-38.935000
259,327502.049619,1967688.352783,-38.986000
260,327501.164309,1967689.212693,-38.885000
261,327500.502868,1967690.089475,-38.779000
262,327499.761790,1967690.830814,-38.882000
263,327498.900695,1967691.548845,-38.788000
264,327498.073028,1967692.209033,-38.845000
265,327497.084633,1967692.797569,-38.803000
266,327496.362280,1967693.619541,-38.877000
267,327495.432197,1967694.207570,-38.869000
268,327494.743675,1967695.018181,-38.861000
269,327493.886691,1967695.598935,-38.865000
270,327493.254946,1967696.476567,-38.925000
271,327492.447280,1967697.119980,-38.904000
272,327491.747243,1967697.825546,-38.771000
273,327491.029542,1967698.450469,-38.801000
274,327490.184297,1967699.039976,-38.917000
275,327489.332825,1967699.645032,-38.963000
276,327488.468611,1967700.247985,-38.805000
277,327487.820359,1967701.056033,-38.896000
278,327486.909101,1967701.614016,-38.843000
279,327486.206682,1967702.411466,-38.826000
280,327485.473753,1967702.992251,-38.774000
281,327484.749624,1967703.609483,-38.891000
282,327483.950942,1967704.188625,-38.849000
283,327483.171729,1967704.811869,-38.782000
284,327482.450143,1967705.477778,-38.860000
285,327481.579728,1967706.221348,-38.923000
286,327480.674483,1967706.861181,-38.953000
287,327479.826884,1967707.545893,-38.813000
288,327479.115391,1967708.153054,-38.842000
289,327478.674543,1967708.791070,-38.714000
290,327478.176469,1967709.188303,-38.703000
291,327477.759971,1967709.333588,-38.817000
292,327477.390274,1967709.617921,-38.891000
293,327476.956165,1967709.810950,-38.865000
294,327476.536228,1967709.926381,-38.818000
295,327476.184144,1967710.041223,-38.815000
296,327475.746839,1967710.110320,-38.881000
297,327475.373721,1967710.367014,-38.858000
298,327475.006320,1967710.549503,-38.931000
299,327474.502689,1967710.428808,-38.780000
300,327473.930990,1967710.406102,-38.813000
301,327473.307896,1967710.448035,-38.859000
302,327472.542669,1967710.361709,-38.829000
303,327471.783691,1967710.506646,-38.881000
304,327470.981196,1967710.646428,-38.869000
305,327470.237989,1967711.020333,-38.838000
306,327469.312838,1967711.077064,-38.852000
307,327468.350749,1967711.275784,-38.889000
308,327467.407238,1967711.293937,-38.826000
309,327466.498474,1967711.650464,-38.861000
310,327465.594117,1967711.904022,-38.870000
311,327464.737564,1967712.289980,-38.814000
312,327463.905754,1967712.594928,-38.844000
313,327462.950401,1967712.836754,-38.807000
314,327462.004772,1967713.099525,-38.766000
315,327460.983958,1967713.251164,-38.799000
316,327460.026001,1967713.559420,-38.875000
317,327458.967909,1967713.569714,-38.794000
318,327457.902418,1967713.826885,-38.968000
319,327456.800697,1967714.063342,-38.884000
320,327455.816411,1967714.636349,-39.015000
321,327454.806830,1967714.982685,-38.807000
322,327453.763146,1967715.431141,-38.817000
323,327452.825275,1967715.732583,-38.866000
324,327451.720419,1967716.096348,-38.832000
325,327450.619944,1967716.598423,-38.827000
326,327449.445093,1967716.960582,-38.787000
327,327448.389330,1967717.483298,-38.835000
328,327447.360198,1967718.020171,-38.924000
329,327446.365178,1967718.456031,-38.899000
330,327445.425688,1967718.815040,-38.797000
331,327444.356770,1967718.921719,-38.801000
332,327443.373813,1967719.159359,-38.817000
333,327442.621898,1967719.751378,-38.933000
334,327441.759022,1967720.141818,-38.955000
335,327440.775300,1967720.535522,-38.827000
336,327439.769660,1967720.969261,-38.818000
337,327438.863561,1967721.510600,-38.784000
338,327437.896291,1967721.967248,-38.796000
339,327436.882146,1967722.520593,-38.816000
340,327435.772386,1967723.174380,-38.951000
341,327434.962576,1967723.692747,-38.876000
342,327434.458731,1967724.402145,-38.879000
343,327433.908759,1967725.049964,-38.891000
344,327433.185221,1967725.612961,-38.739000
345,327432.275619,1967725.994954,-38.818000
346,327431.464255,1967726.578635,-38.806000
347,327430.704731,1967727.393185,-38.923000
348,327429.851097,1967728.237329,-38.835000
349,327428.893215,1967729.042533,-38.898000
350,327428.202417,1967730.078951,-38.917000
351,327427.311236,1967730.750762,-38.793000
352,327426.661687,1967731.531153,-38.937000
353,327426.029220,1967732.202931,-38.811000
354,327425.526769,1967733.072802,-38.907000
355,327424.710086,1967733.654316,-38.900000
356,327423.936174,1967734.399264,-38.925000
357,327423.146438,1967735.031456,-38.860000
358,327422.437430,1967735.802403,-38.769000
359,327421.617362,1967736.482451,-38.874000
360,327420.818284,1967737.259714,-38.641000
361,327420.069798,1967738.002228,-38.878000
