GPS TOW [s],IMU Temp [C],Acc X [g],Acc Y [g],Acc Z [g],Gyr X [deg/s],Gyr Y [deg/s],Gyr Z [deg/s],Mag X [uT],Mag Y [uT],Mag Z [uT]
179479.349,19.887,-0.05298,-0.02124,-0.95923,0.03052,0.51880,0.06104,,,
179479.354,,-0.05298,-0.02344,-0.95947,0.09155,0.48828,0.15259,,,
179479.359,,-0.05127,-0.02393,-0.95923,0.03052,0.45776,0.12207,,,
179479.364,,-0.05029,-0.02026,-0.95630,0.09155,0.42725,0.09155,2.1,43.1,21.4
179479.369,,-0.05005,-0.02197,-0.96118,0.06104,0.45776,0.18311,,,
179479.374,,-0.05103,-0.02319,-0.95581,0.09155,0.48828,0.12207,,,
179479.379,,-0.05078,-0.02295,-0.95874,0.12207,0.39673,0.03052,,,
179479.384,,-0.05029,-0.02441,-0.95776,0.09155,0.36621,0.12207,,,
179479.389,,-0.04980,-0.02563,-0.95288,0.12207,0.42725,0.27466,,,
179479.394,,-0.05200,-0.02588,-0.95703,0.12207,0.54932,0.18311,,,
179479.399,,-0.04907,-0.02441,-0.95752,0.12207,0.54932,0.15259,,,
179479.404,,-0.04883,-0.02173,-0.95947,0.12207,0.48828,0.18311,1.6,41.6,21.7
179479.409,,-0.05225,-0.02148,-0.95703,0.06104,0.48828,0.27466,,,
179479.414,,-0.05005,-0.02344,-0.95996,0.09155,0.54932,0.18311,,,
179479.419,,-0.05005,-0.02319,-0.95728,0.09155,0.70190,0.12207,,,
179479.424,,-0.05249,-0.02197,-0.95801,0.12207,0.57983,0.18311,,,
179479.429,,-0.04932,-0.02173,-0.96021,0.15259,0.48828,0.18311,,,
179479.433,,-0.04932,-0.02148,-0.96509,0.06104,0.45776,0.00000,,,
179479.438,,-0.05103,-0.02368,-0.96021,0.09155,0.45776,0.09155,,,
179479.443,,-0.05249,-0.02319,-0.95801,0.09155,0.67139,0.12207,-0.4,42.6,22.3
179479.448,,-0.05200,-0.01978,-0.95850,0.18311,0.57983,0.09155,,,
179479.453,,-0.05078,-0.01953,-0.95776,0.24414,0.48828,0.12207,,,
179479.458,,-0.05029,-0.02319,-0.95581,-0.03052,0.42725,0.09155,,,
179479.463,,-0.05298,-0.02124,-0.95557,0.06104,0.30518,0.18311,,,
179479.468,,-0.05054,-0.02002,-0.95850,0.06104,0.48828,0.18311,,,
179479.473,,-0.04932,-0.02271,-0.95728,0.06104,0.51880,0.15259,,,
179479.478,,-0.05127,-0.02075,-0.95923,0.06104,0.45776,0.09155,,,
179479.483,,-0.05078,-0.01953,-0.95923,0.06104,0.64087,0.15259,0.1,44.1,22.2
179479.488,,-0.05103,-0.02393,-0.95776,0.03052,0.64087,0.24414,,,
179479.493,,-0.05078,-0.02344,-0.95703,0.00000,0.61035,0.15259,,,
179479.498,,-0.04980,-0.02002,-0.95679,0.12207,0.64087,0.03052,,,
179479.503,,-0.05078,-0.02124,-0.95557,0.12207,0.51880,0.15259,,,
179479.508,,-0.05078,-0.02393,-0.95898,0.03052,0.57983,0.18311,,,
179479.513,,-0.05298,-0.02173,-0.95728,0.12207,0.57983,0.18311,,,
179479.518,,-0.05444,-0.02124,-0.95996,0.09155,0.39673,0.18311,,,
179479.523,,-0.04932,-0.01978,-0.95923,0.03052,0.42725,0.24414,0.1,43.1,22.2
179479.528,,-0.04858,-0.02100,-0.95386,-0.06104,0.57983,0.15259,,,
179479.533,,-0.04980,-0.02393,-0.95776,0.00000,0.33569,0.15259,,,
179479.538,,-0.05151,-0.02466,-0.96143,0.21362,0.51880,0.12207,,,
179479.543,,-0.05103,-0.02197,-0.96069,0.00000,0.64087,0.12207,,,
179479.548,,-0.05103,-0.02026,-0.95923,0.03052,0.54932,0.21362,,,
179479.553,,-0.05151,-0.01978,-0.95923,0.12207,0.61035,0.03052,,,
179479.558,,-0.05127,-0.02002,-0.95728,-0.03052,0.54932,0.06104,,,
179479.563,,-0.04956,-0.02246,-0.95825,0.09155,0.48828,0.21362,-0.4,43.6,22.1
179479.568,,-0.05151,-0.02417,-0.95776,0.09155,0.54932,0.03052,,,
179479.572,,-0.05200,-0.02417,-0.95654,0.06104,0.57983,0.06104,,,
179479.577,,-0.05225,-0.02295,-0.95825,0.15259,0.57983,0.06104,,,
179479.582,,-0.04980,-0.02124,-0.95630,0.06104,0.45776,0.21362,,,
179479.587,,-0.04883,-0.02393,-0.95776,0.03052,0.39673,0.30518,,,
179479.592,,-0.04810,-0.02368,-0.95435,0.09155,0.73242,0.21362,,,
179479.597,,-0.04980,-0.02148,-0.95776,0.21362,0.64087,0.12207,,,
179479.602,,-0.05029,-0.02100,-0.95996,0.18311,0.57983,0.06104,0.1,43.1,22.3
179479.607,,-0.05029,-0.02148,-0.95752,0.12207,0.48828,0.12207,,,
179479.612,,-0.05322,-0.02222,-0.95850,0.03052,0.45776,0.12207,,,
179479.617,,-0.05200,-0.02319,-0.95923,-0.03052,0.30518,0.06104,,,
179479.622,,-0.05005,-0.02441,-0.95776,0.06104,0.42725,0.03052,,,
179479.627,,-0.05005,-0.02393,-0.95679,0.12207,0.57983,0.15259,,,
179479.632,,-0.05273,-0.02417,-0.95752,0.06104,0.67139,0.24414,,,
179479.637,,-0.05200,-0.02441,-0.96045,0.09155,0.42725,0.21362,,,
179479.642,,-0.05029,-0.02051,-0.95605,0.06104,0.39673,0.12207,0.1,42.6,21.8
179479.647,,-0.05103,-0.02124,-0.95532,0.06104,0.51880,0.09155,,,
179479.652,,-0.05054,-0.02124,-0.96289,0.21362,0.61035,0.18311,,,
179479.657,,-0.05005,-0.02075,-0.95874,0.12207,0.45776,0.09155,,,
179479.662,,-0.05054,-0.02319,-0.96265,0.09155,0.45776,0.06104,,,
179479.667,,-0.04858,-0.02197,-0.95752,0.18311,0.42725,0.09155,,,
179479.672,,-0.05005,-0.02002,-0.95605,0.24414,0.51880,0.09155,,,
179479.677,,-0.04883,-0.02173,-0.95679,0.15259,0.48828,0.12207,,,
179479.682,,-0.05005,-0.02197,-0.96045,-0.09155,0.42725,0.21362,1.6,42.6,21.9
179479.687,,-0.05078,-0.02148,-0.95996,0.03052,0.51880,0.03052,,,
179479.692,,-0.05029,-0.02368,-0.95898,0.12207,0.64087,0.09155,,,
179479.697,,-0.04932,-0.02466,-0.95947,0.18311,0.54932,0.09155,,,
179479.702,,-0.04883,-0.02441,-0.95874,-0.06104,0.42725,0.21362,,,
179479.707,,-0.04810,-0.02490,-0.96045,0.00000,0.45776,0.21362,,,
179479.711,,-0.05054,-0.02295,-0.95898,0.12207,0.45776,0.18311,,,
179479.716,,-0.05029,-0.01929,-0.95898,0.00000,0.42725,0.12207,,,
179479.721,,-0.04907,-0.02246,-0.95508,0.06104,0.45776,0.21362,0.6,42.1,22.3
179479.726,,-0.05127,-0.02783,-0.95435,-0.09155,0.45776,0.15259,,,
179479.731,,-0.05225,-0.02246,-0.95923,-0.03052,0.48828,0.18311,,,
179479.736,,-0.05029,-0.02148,-0.95898,0.06104,0.45776,0.24414,,,
179479.741,,-0.04932,-0.02148,-0.95776,0.06104,0.42725,0.12207,,,
179479.746,,-0.05103,-0.01758,-0.95557,0.09155,0.45776,0.15259,,,
179479.751,,-0.05078,-0.02539,-0.96045,0.06104,0.54932,0.12207,,,
179479.756,,-0.04883,-0.02075,-0.95996,0.09155,0.33569,0.09155,,,
179479.761,,-0.05005,-0.02344,-0.96021,-0.12207,0.33569,0.09155,0.1,43.6,22.1
179479.766,,-0.05005,-0.02368,-0.95654,-0.06104,0.45776,0.30518,,,
179479.771,,-0.05029,-0.02026,-0.95874,0.06104,0.54932,0.09155,,,
179479.776,,-0.04883,-0.02124,-0.95776,0.12207,0.36621,0.15259,,,
179479.781,,-0.04907,-0.02124,-0.95874,0.06104,0.54932,0.09155,,,
179479.786,,-0.05078,-0.02051,-0.96143,0.03052,0.51880,0.03052,,,
179479.791,,-0.04834,-0.01709,-0.95801,0.21362,0.48828,0.00000,,,
179479.796,,-0.05127,-0.02490,-0.96094,0.00000,0.36621,0.18311,,,
179479.801,,-0.05029,-0.02222,-0.96167,0.00000,0.42725,0.09155,-1.9,41.1,22.1
179479.806,,-0.05078,-0.02393,-0.96143,0.03052,0.54932,0.03052,,,
179479.811,,-0.05151,-0.02466,-0.95923,0.15259,0.57983,0.09155,,,
179479.816,,-0.04834,-0.02271,-0.95947,0.18311,0.48828,0.09155,,,
179479.821,,-0.04980,-0.02368,-0.96045,0.12207,0.48828,0.12207,,,
179479.826,,-0.05249,-0.02197,-0.95654,-0.03052,0.39673,0.15259,,,
179479.831,,-0.05151,-0.02319,-0.95850,0.06104,0.39673,0.09155,,,
179479.836,,-0.05127,-0.02295,-0.95776,0.06104,0.36621,0.15259,,,
179479.841,,-0.05103,-0.02075,-0.95654,0.09155,0.61035,0.18311,-0.4,41.1,22.1
179479.846,,-0.05273,-0.01733,-0.95923,0.09155,0.57983,0.12207,,,
179479.850,,-0.05078,-0.02075,-0.95996,0.00000,0.51880,0.30518,,,
179479.855,,-0.04956,-0.02197,-0.96021,0.03052,0.39673,0.15259,,,
179479.860,,-0.04834,-0.02734,-0.95825,-0.03052,0.39673,0.15259,,,
179479.865,,-0.05005,-0.01880,-0.95703,0.09155,0.48828,0.09155,,,
179479.870,,-0.04712,-0.01929,-0.95679,0.09155,0.54932,0.09155,,,
179479.875,,-0.05054,-0.02417,-0.95703,0.09155,0.42725,0.09155,,,
179479.880,,-0.05420,-0.02295,-0.95581,0.09155,0.24414,0.15259,0.1,42.6,22.4
179479.885,,-0.05200,-0.02588,-0.95581,0.12207,0.42725,0.09155,,,
179479.890,,-0.05054,-0.02417,-0.95801,0.12207,0.57983,0.06104,,,
179479.895,,-0.05347,-0.02368,-0.95947,0.21362,0.64087,0.06104,,,
179479.900,,-0.05103,-0.02246,-0.95728,0.21362,0.42725,0.03052,,,
179479.905,,-0.05078,-0.02271,-0.95801,0.06104,0.45776,0.06104,,,
179479.910,,-0.05078,-0.02393,-0.95752,0.12207,0.51880,0.12207,,,
179479.915,,-0.05054,-0.02124,-0.95947,0.03052,0.54932,0.21362,,,
179479.920,,-0.05029,-0.01978,-0.95972,0.03052,0.51880,0.12207,0.6,42.1,22.3
179479.925,,-0.04810,-0.02222,-0.95898,0.09155,0.70190,0.15259,,,
179479.930,,-0.04834,-0.01782,-0.96021,-0.03052,0.48828,0.27466,,,
179479.935,,-0.04907,-0.02148,-0.96265,0.06104,0.48828,0.18311,,,
179479.940,,-0.05029,-0.02417,-0.95874,0.03052,0.57983,0.00000,,,
179479.945,,-0.04858,-0.02393,-0.95923,0.03052,0.51880,-0.03052,,,
179479.950,,-0.05005,-0.02295,-0.95801,0.09155,0.61035,0.12207,,,
179479.955,,-0.04907,-0.02148,-0.95776,0.12207,0.82397,-0.09155,,,
179479.960,,-0.05347,-0.02271,-0.95728,0.09155,0.54932,0.12207,0.6,43.6,21.7
179479.965,,-0.05225,-0.02271,-0.95630,0.09155,0.33569,0.18311,,,
179479.970,,-0.05127,-0.02393,-0.96289,0.15259,0.57983,0.09155,,,
179479.975,,-0.04883,-0.02393,-0.95776,0.06104,0.51880,0.09155,,,
179479.980,,-0.05225,-0.01904,-0.95825,0.06104,0.54932,0.03052,,,
179479.984,,-0.05176,-0.01855,-0.96338,0.06104,0.30518,0.21362,,,
179479.989,,-0.04932,-0.02295,-0.96045,0.00000,0.27466,0.21362,,,
179479.994,,-0.05273,-0.02271,-0.95874,0.21362,0.42725,0.12207,,,
179479.999,,-0.05151,-0.02319,-0.95508,0.06104,0.42725,0.12207,0.1,42.1,22.2
179480.004,,-0.04956,-0.02002,-0.95581,0.18311,0.45776,0.15259,,,
179480.009,,-0.05005,-0.01978,-0.95654,0.15259,0.36621,0.18311,,,
179480.014,,-0.04907,-0.02393,-0.95923,0.06104,0.45776,0.09155,,,
179480.019,,-0.05078,-0.02295,-0.96118,0.09155,0.48828,0.03052,,,
179480.024,,-0.05029,-0.02100,-0.96265,-0.03052,0.48828,0.12207,,,
179480.029,,-0.05298,-0.02417,-0.95947,0.09155,0.39673,0.09155,,,
179480.034,,-0.05200,-0.02100,-0.95776,0.06104,0.42725,0.09155,,,
179480.039,,-0.04980,-0.02466,-0.95898,-0.03052,0.27466,0.21362,2.1,43.6,21.6
179480.044,,-0.04810,-0.02173,-0.95654,0.06104,0.45776,0.18311,,,
179480.049,,-0.04932,-0.02295,-0.95679,0.12207,0.45776,0.12207,,,
179480.054,,-0.05103,-0.02222,-0.96021,0.15259,0.48828,0.06104,,,
179480.059,,-0.05151,-0.02393,-0.95972,0.12207,0.57983,0.03052,,,
179480.064,,-0.05176,-0.02197,-0.95557,0.09155,0.54932,0.09155,,,
179480.069,,-0.04736,-0.02197,-0.95923,0.09155,0.39673,0.15259,,,
179480.074,,-0.05273,-0.02319,-0.95508,-0.03052,0.42725,0.15259,,,
179480.079,,-0.05103,-0.02197,-0.95923,0.06104,0.51880,0.03052,-0.4,43.1,22.4
179480.084,,-0.04810,-0.02051,-0.96118,0.03052,0.51880,0.06104,,,
179480.089,,-0.05273,-0.02148,-0.95679,0.00000,0.51880,0.12207,,,
179480.094,,-0.05127,-0.02075,-0.95752,0.00000,0.42725,0.15259,,,
179480.099,,-0.04883,-0.02319,-0.96021,0.09155,0.45776,0.12207,,,
179480.104,,-0.05127,-0.02393,-0.95825,-0.03052,0.51880,0.15259,,,
179480.109,,-0.04712,-0.02368,-0.95825,0.03052,0.45776,0.21362,,,
179480.114,,-0.05298,-0.02319,-0.95850,0.12207,0.64087,0.15259,,,
179480.119,,-0.05518,-0.02148,-0.95679,0.12207,0.57983,0.24414,0.1,42.6,22.3
179480.123,,-0.04956,-0.02295,-0.96240,0.06104,0.48828,0.09155,,,
179480.128,,-0.05225,-0.02271,-0.96143,-0.03052,0.45776,0.12207,,,
179480.133,,-0.05127,-0.02100,-0.95874,-0.15259,0.21362,0.15259,,,
179480.138,,-0.05029,-0.02197,-0.95972,-0.06104,0.48828,0.12207,,,
179480.143,,-0.05225,-0.02002,-0.96094,0.09155,0.61035,0.15259,,,
179480.148,,-0.05322,-0.02002,-0.95996,0.12207,0.45776,0.09155,,,
179480.153,,-0.05151,-0.02246,-0.95776,-0.09155,0.54932,0.09155,,,
179480.158,,-0.05396,-0.02100,-0.95898,0.03052,0.48828,0.15259,-0.4,43.1,21.8
179480.163,,-0.05029,-0.02148,-0.95972,0.12207,0.54932,0.09155,,,
179480.168,,-0.05200,-0.02246,-0.95801,0.09155,0.54932,0.06104,,,
179480.173,,-0.05029,-0.02417,-0.95752,0.06104,0.54932,0.24414,,,
179480.178,,-0.05127,-0.01831,-0.95996,0.03052,0.45776,0.24414,,,
179480.183,,-0.05176,-0.01855,-0.95801,0.09155,0.42725,0.12207,,,
