Sender ID,Msg ID (dec),Msg ID (hex),Msg Name,Msg Length,TOW [s],Data
39016,2304,0x0900,IMU-RAW,25,,
39016,2304,0x0900,IMU-RAW,25,,
39016,2304,0x0900,IMU-RAW,25,,
39016,2304,0x0900,IMU-RAW,25,,
39016,2306,0x0902,MAG-RAW,19,,
39016,2304,0x0900,IMU-RAW,25,,
39016,2304,0x0900,IMU-RAW,25,,
39016,2304,0x0900,IMU-RAW,25,,
39016,2304,0x0900,IMU-RAW,25,,
39016,2304,0x0900,IMU-RAW,25,,
39016,74,0x004A,OBS,19,0.000,Msg 1 of 1 (0)
39016,258,0x0102,GPS-TIME,19,,
39016,259,0x0103,UTC-TIME,24,,
39016,522,0x020A,POS-LLA,42,0.000,No Fix
39016,521,0x0209,POS-ECEF,40,0.000,No Fix
39016,526,0x020E,VEL-NED,30,,Invalid
39016,525,0x020D,VEL-ECEF,28,,Invalid
39016,520,0x0208,DOPS,23,,
39016,2304,0x0900,IMU-RAW,25,,
39016,2304,0x0900,IMU-RAW,25,,
39016,2304,0x0900,IMU-RAW,25,,
39016,2306,0x0902,MAG-RAW,19,,
39016,2304,0x0900,IMU-RAW,25,,
39016,2304,0x0900,IMU-RAW,25,,
39016,2304,0x0900,IMU-RAW,25,,
39016,2304,0x0900,IMU-RAW,25,,
39016,2304,0x0900,IMU-RAW,25,,
39016,2304,0x0900,IMU-RAW,25,,
39016,2304,0x0900,IMU-RAW,25,,
39016,2304,0x0900,IMU-RAW,25,,
39016,2306,0x0902,MAG-RAW,19,,
39016,2304,0x0900,IMU-RAW,25,,
39016,2304,0x0900,IMU-RAW,25,,
39016,2304,0x0900,IMU-RAW,25,,
39016,2304,0x0900,IMU-RAW,25,,
39016,2304,0x0900,IMU-RAW,25,,
39016,2304,0x0900,IMU-RAW,25,,
39016,2304,0x0900,IMU-RAW,25,,
39016,2304,0x0900,IMU-RAW,25,,
39016,2306,0x0902,MAG-RAW,19,,
39016,2304,0x0900,IMU-RAW,25,,
39016,74,0x004A,OBS,19,0.000,Msg 1 of 1 (0)
39016,258,0x0102,GPS-TIME,19,,
39016,259,0x0103,UTC-TIME,24,,
39016,522,0x020A,POS-LLA,42,0.000,No Fix
39016,521,0x0209,POS-ECEF,40,0.000,No Fix
39016,526,0x020E,VEL-NED,30,,Invalid
39016,525,0x020D,VEL-ECEF,28,,Invalid
39016,520,0x0208,DOPS,23,,
39016,2304,0x0900,IMU-RAW,25,,
39016,2304,0x0900,IMU-RAW,25,,
39016,2304,0x0900,IMU-RAW,25,,
